source_file	source_line	wc1_address	wc2_address	source_name	mapping_name	evidence	review_flags	status
src/cockpt.c	2246	00416C90	0043D7F2	RestoreCockpitExplosionIfVisible	RestoreCockpitExplosionIfVisible	WC1-manual-verified		mapped
src/cockpt.c	2255	00416CB0	0043D81F	RestoreTransientCockpitGraphics	RestoreTransientCockpitGraphics	WC1-order-exact		mapped
src/cockpt.c	2300	00416DE0	0043D956	SetHudMessageText	SetHudMessageText	WC1-fuzzy-low		mapped
src/cockpt.c	2313	00416E20	0043D9DA	malf_noise	malf_noise	WC1-fuzzy-low		mapped
src/cockpt.c	2330	00416E90	0043DA68	build_your_target_list	build_your_target_list	WC1-callgraph-propagated		mapped
src/cockpt.c	2361	00416F30	0043DD1B	cycle_onscreen_targets	cycle_onscreen_targets	WC1-fuzzy-very-low		mapped
src/cockpt.c	2394	00416FD0	0043DDFC	check_target	check_target	WC1-callgraph-propagated		mapped
src/cockpt.c	2461	00417190	0043E1B2	update_missile_warning	update_missile_warning	WC1-callgraph-propagated		mapped
src/cockpt.c	2473	004171D0	0043E297	determine_pilot_hand	determine_pilot_hand	WC1-fuzzy-very-low		mapped
src/cockpt.c	2504	00417260	0043E371	DrawPilotHandFrame	DrawPilotHandFrame	WC1-fuzzy-low		mapped
src/cockpt.c	2527	00417320	0043F110	CopyTrainSimPilotViewToRightVdu	LoopCombatFn7320	WC1-callgraph-propagated		mapped
src/cockpt.c	2547	004173C0	0043E43A	animate_pilot	animate_pilot	WC1-fuzzy-followup		mapped
src/cockpt.c	2557	004173F0	0043E472	ResetPilotHandAnimation	ResetPilotHandAnimation	WC1-manual-verified		mapped
src/cockpt.c	2567	00417420	0043E4A8	send_message	send_message	WC1-fuzzy-medium		mapped
src/cockpt.c	2598	004174F0	0043E5DA	npc_communication	npc_communication	WC1-callgraph-propagated		mapped
src/cockpt.c	2645	00417610	0043E870	clear_cockpit_damage	clear_cockpit_damage	WC1-order-exact		mapped
src/cockpt.c	2652	00417630	0043E8B2	explosion_draw	explosion_draw	WC1-callgraph-propagated		mapped
src/cockpt.c	2677	004176C0	0043E9E2	DrawPendingCockpitDamage	DrawPendingCockpitDamage	WC1-callgraph-propagated		mapped
src/cockpt.c	2702	00417760	0043EAE3	RestoreCockpitExplosionBackground	RestoreCockpitExplosionBackground	WC1-fuzzy-low		mapped
src/cockpt.c	2717	004177B0	0043EB46	cockpit_explosion	cockpit_explosion	WC1-fuzzy-low		mapped
src/cockpt.c	2751	004178A0	0043EC50	place_damage_on_cockpit	place_damage_on_cockpit	WC1-fuzzy-very-low		mapped
src/cockpt.c	2771	00417910	0043ECD9	vid_transmit	vid_transmit	WC1-fuzzy-followup		mapped
src/cockpt.c	2825	00417AC0	0043F042	vid_equiv	GetG00469e2cFn7AC0	WC1-fuzzy-low		mapped
src/cockpt.c	2835	00417B10	0043F09D	update_dead_disp	update_dead_disp	WC1-fuzzy-low		mapped
src/cockpt.c	2841	00417B30	0043F0C3	check_stranded	check_stranded	WC1-fuzzy-very-low		mapped
src/cockpt.c	2851	00417B70	0043F2F5	update_VDUs	update_VDUs	WC1-fuzzy-followup		mapped
src/cockpt.c	2979	00417E70	0043F6C9	update_cockpit	update_cockpit	WC1-callgraph-propagated		mapped
