source_file	source_name	mapping_name	wc1_address	wc2_address	evidence	review_flags	binary_similarity	similarity_band
src/cockpt.c	SetCockpitLightBlink	SetCockpitLightBlink	00414440	00438D30	WC1-fuzzy-medium		79.07	50to90
src/sound.c	LoadWingCmdrCfgFile	LoadWingCmdrCfgFile	0042C580	00401000	WC1-fuzzy-followup		79.31	50to90
src/smart.c	pick_kilrathi_maneuver	pick_kilrathi_maneuver	004348A0	0041F83F	WC1-callgraph-propagated		79.31	50to90
src/logic.c	no_goal	no_goal	00422830	0042A003	WC1-callgraph-propagated		79.31	50to90
src/dib.c	DIBcascade	DIBcascade	00432410	0045D3A1	WC1-fuzzy-followup		79.70	50to90
src/cockpt.c	send_message	send_message	00417420	0043E4A8	WC1-fuzzy-medium		79.71	50to90
src/geom.c	zero_vector	zero_vector	004185F0	0040AA0B	WC1-callgraph-propagated		80.00	50to90
src/disk.c	celerate	celerate	0041E710	004117AC	WC1-callgraph-propagated		80.00	50to90
src/logic.c	unactive	unactive	00422560	00429B55	WC1-callgraph-propagated		80.00	50to90
src/cockpt.c	animate_pilot	animate_pilot	004173C0	0043E43A	WC1-fuzzy-followup		80.00	50to90
src/cockpt.c	check_stranded	check_stranded	00417B30	0043F0C3	WC1-fuzzy-very-low		80.00	50to90
src/brains.c	futurion_intelligence	futurion_intelligence	0040B320	00445D9A	WC1-fuzzy-low		80.00	50to90
src/mathfp.c	RandomBelowOrEqual	RandomBelowOrEqual	00434D50	004619A1	WC1-fuzzy-medium		80.00	50to90
src/main.c	dump_buffer_to_screen	dump_buffer_to_screen	00427A40	00465D55	WC1-fuzzy-very-low		80.00	50to90
src/debug.cpp	DebugOverlayConsole::DrawPendingLines	DebugOverlayConsole::DrawPendingLines	0041CCC0	0045B3DC	WC1-callgraph-propagated		80.30	50to90
src/winmain.c	update_hazards	update_hazards	00401B30	004184F6	WC1-fuzzy-low		80.36	50to90
src/screen.c	PushMemoryStackFrame	PushMemoryStackFrame	0042F960	00458E49	WC1-fuzzy-medium		80.36	50to90
src/brains.c	ship_intelligence	ship_intelligence	0040AE80	00444ADC	WC1-fuzzy-followup		80.37	50to90
src/geom.c	recalc_max_velocity	recalc_max_velocity	00418210	0040A481	WC1-fuzzy-low		80.43	50to90
src/screen.c	ThrottleFrameAndDrawFps	ThrottleFrameAndDrawFps	00431F00	0045CD2C	WC1-fuzzy-very-low		80.43	50to90
src/music.c	CalcRectangleArea	CalcRectangleArea	0042E050	0045CA80	WC1-fuzzy-followup		80.56	50to90
src/cockpt.c	update_VDUs	update_VDUs	00417B70	0043F2F5	WC1-fuzzy-followup		80.58	50to90
src/music.c	OpenPacketSection	OpenPacketSection	0042D730	0044F010	WC1-fuzzy-followup		80.60	50to90
src/cockpt.c	set_objective_range	set_objective_range	00415B70	0043B4CF	WC1-fuzzy-followup		80.70	50to90
src/mathfp.c	GetShapeFrameBounds	GetShapeFrameBounds	00435020	00461DF0	WC1-fuzzy-medium		80.70	50to90
src/cockpt.c	update_bars	update_bars	00414690	00439076	WC1-fuzzy-followup		80.79	50to90
src/cockpt.c	vdu_polygon	vdu_polygon	00413DA0	00438194	WC1-fuzzy-very-low		80.95	50to90
src/main.c	GetScreenUpdateFlag	GetScreenUpdateFlag	004279D0	0043D7F2	WC1-fuzzy-low		80.95	50to90
src/winmain.c	within_field	within_field	004016A0	00440831	WC1-fuzzy-low		80.95	50to90
src/music.c	wait_for_end_of_music	wait_for_end_of_music	0042E900	00452DB0	WC1-fuzzy-low		80.95	50to90
src/debug.cpp	DebugOverlayConsole::DebugOverlayConsole	DebugOverlayConsole::DebugOverlayConsole	0041C760	0045AC50	WC1-callgraph-propagated		80.95	50to90
src/logic.c	get_follow_point	get_follow_point	00423820	0042B38F	WC1-fuzzy-followup		81.03	50to90
src/disk.c	new_object	new_object	0041DF70	004105BF	WC1-callgraph-propagated		81.08	50to90
src/cockpt.c	damage_your_component	damage_your_component	00414BF0	004398CB	WC1-fuzzy-medium		81.08	50to90
src/brains.c	patrol_area	patrol_area	0040A1C0	00443707	WC1-fuzzy-followup		81.13	50to90
src/nav.c	BuildMap	BuildMap	0040DA00	00450FE2	WC1-fuzzy-followup		81.19	50to90
src/gr.c	SetMusicStreamVolume	HelperOf427F20B	00442590	00428DA3	WC1-auto-vt		81.25	50to90
src/main.c	ResetScreenClipToFullHeight	ResetScreenClipToFullHeight	00427BA0	00437D68	WC1-fuzzy-followup		81.25	50to90
src/eventmgr.c	QueueInputEventAtCursor	QueueInputEventAtCursor	004356A0	00462849	WC1-callgraph-propagated		81.25	50to90
